ALBERT,BERT,CodeBERT,DeBERTa,DistilBERT,RoBERTa
0.0165678409487268,0.0165678409487268,0.0165678409487268,0.550401116149285,0.2504359958144402,0.0165678409487268
0.0246228541702791,0.0050286110629443,0.0039882087740593,0.567366048205306,0.4100919022021848,0.0039882087740593
0.0462068965517241,0.2113793103448276,0.0384482758620689,0.6041379310344828,0.4953448275862069,0.0184482758620689
0.3890702869908919,0.1153119092627599,0.0744114108953428,0.6181474480151229,0.521223577934353,0.1438391476198659
0.3759438103599649,0.3308165057067603,0.3664618086040386,0.6359964881474978,0.5748902546093064,0.3647058823529411
0.5744165946413138,0.4705272255834054,0.4720829732065687,0.7249783923941228,0.6840103716508211,0.48504753673293
0.6089732222025181,0.5428267423302003,0.5236744103564461,0.6901932966838091,0.6265295265117928,0.5547082816102146
0.5320910973084886,0.5543478260869565,0.5560731538992408,0.7108350586611456,0.6595928226363009,0.5928226363008972
0.6640275387263339,0.559552495697074,0.6013769363166953,0.6977624784853701,0.6943201376936317,0.6597246127366609
0.6894484412470024,0.6591298389859541,0.6569030489893799,0.7322713257965057,0.7031517643028434,0.6966426858513189
