ALBERT,BERT,CodeBERT,DeBERTa,DistilBERT,RoBERTa
0.2289850017439832,0.2277642134635507,0.2289850017439832,0.7394489012905476,0.4799441925357516,0.2289850017439832
0.2453615397953875,0.1883128142881914,0.1831108028437662,0.7653892838564245,0.6036067279348014,0.1831108028437662
0.2184482758620689,0.3448275862068966,0.2013793103448276,0.8191379310344827,0.7127586206896551,0.181551724137931
0.4890874720742396,0.3143151744285959,0.2020965801684138,0.8140573981783812,0.7564873689637395,0.2328578793607149
0.5701492537313433,0.5466198419666374,0.5575065847234416,0.8403863037752415,0.7743634767339772,0.564179104477612
0.764390665514261,0.6812445980985307,0.6466724286949006,0.891961970613656,0.8532411408815903,0.6791702679343129
0.7820535555949637,0.7114736655435361,0.6999467990778507,0.873381805284625,0.8311757403794999,0.7433942188331264
0.7412008281573499,0.770703933747412,0.7387853692201518,0.8692201518288475,0.8493788819875776,0.7600069013112492
0.8141135972461274,0.7438898450946644,0.7776247848537006,0.8690189328743546,0.8430292598967297,0.8199655765920826
0.8410414525522439,0.8307639602603631,0.8215142171976705,0.894655704008222,0.8835217540253512,0.8574854402192532
