ALBERT,BERT,CodeBERT,DeBERTa,DistilBERT,RoBERTa,SVM
0.03456640388114,0.0151607034566403,0.0151607034566403,0.2246816252274105,0.0469981807155852,0.0151607034566403,0.2319587628865979
0.0828630828630828,0.0911790911790911,0.0463320463320463,0.2675972675972676,0.1844371844371844,0.0463320463320463,0.2474012474012474
0.1395002974419988,0.0681142177275431,0.1290898274836407,0.2510410469958358,0.1980963712076145,0.0636525877453896,0.2400356930398572
0.2445298639858072,0.1930810171496156,0.1960378474275576,0.3267297457125961,0.2853341218214074,0.2028385570668243,0.2998225901833234
0.1641255605381165,0.1662182361733931,0.2038863976083707,0.3040358744394619,0.2699551569506726,0.2080717488789237,0.2855007473841554
0.23698224852071,0.2289940828402366,0.2337278106508875,0.3292899408284023,0.3014792899408284,0.2331360946745562,0.2855029585798816
0.235854675402025,0.2251340083382966,0.2379392495533055,0.3862418106015485,0.361524717093508,0.2525312686122692,0.3433591423466349
0.3620791494388659,0.3880685174246899,0.3892498523331364,0.4243945658594211,0.3942705256940342,0.3818665091553455,0.3688718251624335
0.2660956881275841,0.2510336680448907,0.2545776727702303,0.3216184288245717,0.2879503839338452,0.2770230360307147,0.2911990549320732
0.2657534246575342,0.2846270928462709,0.2876712328767123,0.3385083713850837,0.2940639269406392,0.2681887366818873,0.2961948249619482
