Model,Precision,Recall,F1-Score,Fold
ALBERT,0.7709869369876794,0.7629748528624933,0.7520690925649657,1
ALBERT,0.7551642929148609,0.7037433155080214,0.6567994037046078,2
ALBERT,0.7268289399434034,0.7181818181818181,0.6910566237880682,3
ALBERT,0.7725296163939889,0.7556149732620321,0.7521134796109415,4
ALBERT,0.8376312406841412,0.8331550802139037,0.8315850912872013,5
ALBERT,0.850843092225748,0.8477676169983862,0.8459608217160542,6
ALBERT,0.8362762951448631,0.8320855614973262,0.8232304883810108,7
ALBERT,0.8433351856299758,0.8438502673796792,0.8386913285489089,8
ALBERT,0.8541908741584905,0.8491978609625669,0.8468751307763336,9
ALBERT,0.833360236827203,0.8332439678284183,0.8302511418836758,10
BERT,0.7752660894973175,0.7597645799892991,0.7549009316354819,1
BERT,0.7636278023000339,0.713903743315508,0.6654473642884198,2
BERT,0.7482295212788256,0.7331550802139037,0.7099024742990155,3
BERT,0.8038933674805676,0.7941176470588235,0.7923226368885633,4
BERT,0.8270490663825115,0.8219251336898395,0.8208743241212306,5
BERT,0.8369016904712194,0.8391608391608392,0.8376024234470113,6
BERT,0.8496039809430246,0.8443850267379679,0.8353754771786802,7
BERT,0.8513669580693394,0.8502673796791443,0.846658517990057,8
BERT,0.8465527524235188,0.8443850267379679,0.8430687952124216,9
BERT,0.8350788752113935,0.8316353887399464,0.8301422901258481,10
CodeBERT,0.787073313758986,0.7768860353130016,0.7658025695427503,1
CodeBERT,0.7547603960087158,0.7085561497326203,0.6598945099724256,2
CodeBERT,0.749820130167552,0.7320855614973262,0.7096301050846228,3
CodeBERT,0.8059962124675961,0.7973262032085562,0.7958089011151126,4
CodeBERT,0.8453559570268782,0.841711229946524,0.8400358536904594,5
CodeBERT,0.8490470883300023,0.8483055406132329,0.8466666998569478,6
CodeBERT,0.864605762114662,0.8598930481283422,0.8508602198844617,7
CodeBERT,0.8554796069540057,0.8545454545454545,0.8421071198132879,8
CodeBERT,0.863484703942168,0.8609625668449198,0.8607875105077138,9
CodeBERT,0.8523339637362298,0.8466487935656837,0.8456926238659945,10
DeBERTa,0.7787565486931763,0.7870518994114499,0.7807699142216863,1
DeBERTa,0.7405427016825961,0.7245989304812834,0.6895612417319863,2
DeBERTa,0.7796174490252791,0.7689839572192514,0.7560899921571738,3
DeBERTa,0.8103175695442111,0.8032085561497326,0.8030265731466163,4
DeBERTa,0.8570614220201733,0.8545454545454545,0.8539501155001372,5
DeBERTa,0.8549056592969965,0.8531468531468531,0.8531234222600379,6
DeBERTa,0.8596050474509374,0.8566844919786096,0.8505001433090464,7
DeBERTa,0.8719199013592649,0.8711229946524064,0.8687996913203596,8
DeBERTa,0.8531730138795693,0.8443850267379679,0.8431413952391872,9
DeBERTa,0.854618986684521,0.8520107238605898,0.8499881456575984,10
DistilBERT,0.7785269387900245,0.7656500802568218,0.7599225040593314,1
DistilBERT,0.7640799296789885,0.713903743315508,0.6656745155245729,2
DistilBERT,0.7536975254158825,0.746524064171123,0.7307023949507917,3
DistilBERT,0.8026863418258601,0.795187165775401,0.7929767043550435,4
DistilBERT,0.8308643130948395,0.8288770053475936,0.8268683323598209,5
DistilBERT,0.835455657419975,0.8348574502420656,0.8327778677411887,6
DistilBERT,0.8485631208253608,0.8502673796791443,0.8413208124195678,7
DistilBERT,0.8449513624707649,0.8449197860962567,0.8385601037952521,8
DistilBERT,0.8671357944874032,0.8657754010695187,0.8638989922350282,9
DistilBERT,0.8412165805031135,0.8402144772117962,0.8371464866538061,10
RoBERTa,0.7787401464304782,0.7736757624398074,0.7621667169582026,1
RoBERTa,0.7606993255482742,0.7096256684491978,0.6613995707307493,2
RoBERTa,0.7785883665113152,0.7641711229946524,0.7460408357159507,3
RoBERTa,0.8018974486266749,0.7957219251336899,0.794113484579022,4
RoBERTa,0.8519589745098372,0.8502673796791443,0.8484519598272289,5
RoBERTa,0.8409859995994301,0.8407746100053792,0.8401043578942555,6
RoBERTa,0.8528460343728077,0.8508021390374332,0.8428769374204339,7
RoBERTa,0.8503123626980142,0.8502673796791443,0.8394704763581362,8
RoBERTa,0.8572742261285251,0.8545454545454545,0.8541546956615506,9
RoBERTa,0.851853933313323,0.850402144772118,0.8493938305118677,10
SVM,0.7547405014230719,0.7640449438202247,0.7571810039823264,1
SVM,0.7416924322525168,0.7021390374331551,0.6600636549982007,2
SVM,0.7355517412078232,0.7299465240641712,0.7088498921741611,3
SVM,0.7614931153601325,0.7513368983957219,0.7485433890847072,4
SVM,0.8293552403670397,0.8272727272727273,0.8267766171976336,5
SVM,0.7872447173215222,0.7864443249058634,0.7831892807311492,6
SVM,0.8032554729457089,0.8021390374331551,0.8009865760856792,7
SVM,0.8188956578922943,0.8176470588235294,0.8174488976821981,8
SVM,0.7910981560667212,0.781283422459893,0.7760551701882009,9
SVM,0.8104448068101356,0.8096514745308311,0.8085895595605359,10
