Model,Precision,Recall,F1-Score,Fold
ALBERT,0.6987346047103621,0.48923076923076925,0.4364637234535756,1
ALBERT,0.7318562225142299,0.6697388632872504,0.6500491181368482,2
ALBERT,0.7474101052536702,0.7071483474250576,0.6959793535407798,3
ALBERT,0.782264587425959,0.739938080495356,0.7077072024911637,4
ALBERT,0.7700706731189213,0.6913078797725426,0.6577000306656261,5
ALBERT,0.7691731821392584,0.7265745007680492,0.705938344452294,6
ALBERT,0.7550881930781949,0.7204301075268817,0.7059425140074296,7
ALBERT,0.718951048190677,0.6971560338201384,0.6957743818258324,8
ALBERT,0.5481904519964602,0.46075353218210363,0.44261662540277374,9
ALBERT,0.6391394248557851,0.3600317208564631,0.32235617529052896,10
BERT,0.6995988511306118,0.5492307692307692,0.4717904909476745,1
BERT,0.7038785556625231,0.630568356374808,0.5801017598210944,2
BERT,0.7709691980188321,0.7255956956187548,0.712744934022471,3
BERT,0.7810220960216232,0.7469040247678018,0.7125039873991691,4
BERT,0.7776632615491326,0.7156783103168156,0.6763248669233423,5
BERT,0.7959035735159499,0.771889400921659,0.7549899699594211,6
BERT,0.7617083615386938,0.7357910906298003,0.7187992024827552,7
BERT,0.7155653406575022,0.7117601844734819,0.7091963563873432,8
BERT,0.48210615238809473,0.4403453689167975,0.41626684371128575,9
BERT,0.6367794485137903,0.37272006344171293,0.3325557154818523,10
CodeBERT,0.6924048636656303,0.5169230769230769,0.44489986067625753,1
CodeBERT,0.7365957951899559,0.6766513056835638,0.6432543411362455,2
CodeBERT,0.7460888586823285,0.6579554189085319,0.6125379172747552,3
CodeBERT,0.7771988915791728,0.75,0.712466816580923,4
CodeBERT,0.7604489943840014,0.6929325751421609,0.648427354301148,5
CodeBERT,0.7956021756473992,0.7619047619047619,0.7444281298770029,6
CodeBERT,0.7580632650962128,0.7250384024577573,0.7100762543765311,7
CodeBERT,0.7373831986190703,0.7317448116833205,0.7293684384212298,8
CodeBERT,0.5590551494512178,0.5149136577708007,0.5015247495504893,9
CodeBERT,0.6231889494048795,0.3877874702616971,0.3427361537681985,10
DeBERTa,0.7215059933394198,0.6538461538461539,0.6305708781489379,1
DeBERTa,0.744282516072782,0.7211981566820277,0.6906463699045331,2
DeBERTa,0.7936054221304698,0.7732513451191392,0.7592400205170549,3
DeBERTa,0.800482100131626,0.7925696594427245,0.7827357322979106,4
DeBERTa,0.8252555772182033,0.8172217709179529,0.8147540577979416,5
DeBERTa,0.8202260792395244,0.8033794162826421,0.7986577354372661,6
DeBERTa,0.785826595826542,0.7588325652841782,0.744435935069932,7
DeBERTa,0.7362341000877681,0.727901614142967,0.7279463914679268,8
DeBERTa,0.5710085611828679,0.5259026687598116,0.5240477854913681,9
DeBERTa,0.6144599974152524,0.3901665344964314,0.3517230131955955,10
DistilBERT,0.7199705268723859,0.5038461538461538,0.43073843320919186,1
DistilBERT,0.7406674253961942,0.6712749615975423,0.6317683698501623,2
DistilBERT,0.7567111828746036,0.7071483474250576,0.6696915640750616,3
DistilBERT,0.777641382902255,0.7445820433436533,0.7094420757179256,4
DistilBERT,0.7748743922750577,0.7059301380991064,0.671148086922058,5
DistilBERT,0.7801809324821568,0.7526881720430108,0.7388581878452014,6
DistilBERT,0.764423051076794,0.7350230414746544,0.7214044326798785,7
DistilBERT,0.724380466421079,0.708685626441199,0.7114967426646401,8
DistilBERT,0.5371647297182544,0.5015698587127159,0.49169832181510353,9
DistilBERT,0.6366526864326912,0.38699444885011897,0.34257093439359887,10
RoBERTa,0.6545509464931863,0.5353846153846153,0.4495408353846412,1
RoBERTa,0.7220273326506644,0.6705069124423964,0.6307068023679793,2
RoBERTa,0.7802083322151351,0.7271329746348962,0.7076073932436684,3
RoBERTa,0.7848657994470488,0.7554179566563467,0.7189130256894654,4
RoBERTa,0.7777338958775081,0.7099918765231519,0.6746966087745743,5
RoBERTa,0.7560533124335203,0.7319508448540707,0.7084432737758902,6
RoBERTa,0.7616717399571508,0.7265745007680492,0.715295369753172,7
RoBERTa,0.7412812127389056,0.7386625672559569,0.7347249562556466,8
RoBERTa,0.5555406933387446,0.5156985871271585,0.5065696392194776,9
RoBERTa,0.6320964362236291,0.3838223632038065,0.3378939542806865,10
SVM,0.7584858697445401,0.7015384615384616,0.6937635000281483,1
SVM,0.7427842598445167,0.7035330261136713,0.6829995348905137,2
SVM,0.780840947961954,0.776325903151422,0.7717134339875884,3
SVM,0.7959650724376132,0.7964396284829721,0.7895312383327006,4
SVM,0.8135960117071314,0.80178716490658,0.7990011297012242,5
SVM,0.7959658983974116,0.7695852534562212,0.7665783458978922,6
SVM,0.7840980289178885,0.7465437788018433,0.7329757320634112,7
SVM,0.7320850410047872,0.7025365103766333,0.7073342772661588,8
SVM,0.5572873227665998,0.49529042386185246,0.4993785696531116,9
SVM,0.6135827871454153,0.3402061855670103,0.3081752895526409,10
